GASK , TYPEX , INTEGER , 1
GASK , NAME , TEXT , 500
GASK , POS , POSITION , 3
GASK , ORI , ORIENTATION , 3
GASK , UNIPAR , WORD , 100
GASK , DESP , REAL , 100
GASK , BUIL , LOGICAL , 1
GASK , SHOP , LOGICAL , 1
GASK , ISOHIDDEN , LOGICAL , 1
GASK , SPRE , REFERENCE , 1
GASK , LSTU , REFERENCE , 1
GASK , ARRI , INTEGER , 1
GASK , LEAV , INTEGER , 1
GASK , ORIF , LOGICAL , 1
GASK , POSF , LOGICAL , 1
GASK , ISPE , REFERENCE , 1
GASK , TSPE , REFERENCE , 1
GASK , HEIG , REAL , 1
GASK , SPAM , INTEGER , 1
GASK , WDATUM , INTEGER , 6
GASK , SPAM , INTEGER , 1
GASK , CSFBR , LOGICAL , 1
GASK , TSFBR , LOGICAL , 1
GASK , ASFBR , LOGICAL , 1
GASK , LSFBR , LOGICAL , 1
GASK , SPLN , TEXT , 120
GASK , SPLT , TEXT , 120
GASK , MTOR , REFERENCE , 20
GASK , CMPX , TEXT , 20
GASK , PTNO , INTEGER , 1
GASK , PTNT , INTEGER , 1
GASK , PTNB , INTEGER , 20
GASK , JNUM , INTEGER , 2
GASK , JOIP , WORD , 2
GASK , MTOC , WORD , 1
GASK , MTOT , WORD , 1
GASK , MTOX , INTEGER , 20
GASK , SPSP , TEXT , 2
GASK , DPFN , TEXT , 1024
GASK , DPGRID , INTEGER , 1
GASK , NWELDS , INTEGER , 1
GASK , ORRF , REFERENCE , 1
GASK , INVF , REFERENCE , 500
GASK , RREF , REFERENCE , 500
GASK , RATM , WORD , 500
GASK , RATS , WORD , 500
GASK , BSEL , TEXT , 3
GASK , MATN , TEXT , 1000
GASK , RLOC , INTEGER , 1
GASK , RLIN , REFERENCE , 20
GASK , RLEX , REFERENCE , 20
GASK , HREL , LOGICAL , 1
GASK , SPKCHG , REFERENCE , 1
GASK , DELDSG , WORD , 1
GASK , INPRTR , REFERENCE , 1
GASK , OUPRTR , REFERENCE , 1
GASK , AEXCES , REAL , 1
GASK , LEXCES , REAL , 1
GASK , LOOS , LOGICAL , 1
GASK , UDATAB , INTEGER , 1000
GASK , UDAFTB , REFERENCE , 1000
GASK , UDASTB , TEXT , 1000
GASK , :PFILoose , TEXT , 5
GASK , :PFILExcess , TEXT , 10
GASK , :PFIAExcess , TEXT , 10
GASK , :PSILineNum , TEXT , 20
GASK , :PSILineColor , REAL , 1
GASK , :PSILineVisib , REAL , 1
GASK , :PSIWEIGHT , REAL , 1
GASK , :MDSComment , TEXT , 120
GASK , :MDSCp1 , TEXT , 120
GASK , :MDSCp2 , TEXT , 120
GASK , :MDSCp3 , TEXT , 120
GASK , :MDSVprmMto , LOGICAL , 1
INST , UDTYPE , INTEGER , 1
INST , TYPEX , INTEGER , 1
INST , NAME , TEXT , 500
INST , POS , POSITION , 3
INST , ORI , ORIENTATION , 3
INST , UNIPAR , WORD , 100
INST , DESP , REAL , 100
INST , BUIL , LOGICAL , 1
INST , SHOP , LOGICAL , 1
INST , ISOHIDDEN , LOGICAL , 1
INST , SPRE , REFERENCE , 1
INST , LSTU , REFERENCE , 1
INST , ARRI , INTEGER , 1
INST , LEAV , INTEGER , 1
INST , ORIF , LOGICAL , 1
INST , POSF , LOGICAL , 1
INST , ISPE , REFERENCE , 1
INST , TSPE , REFERENCE , 1
INST , ANGL , REAL , 1
INST , HEIG , REAL , 1
INST , RADI , REAL , 1
INST , LOFF , LOGICAL , 1
INST , CRFA , REFERENCE , 10
INST , SPAM , INTEGER , 1
INST , WDATUM , INTEGER , 6
INST , SPAM , INTEGER , 1
INST , CSFBR , LOGICAL , 1
INST , TSFBR , LOGICAL , 1
INST , ASFBR , LOGICAL , 1
INST , LSFBR , LOGICAL , 1
INST , SPLN , TEXT , 120
INST , SPLT , TEXT , 120
INST , MTOR , REFERENCE , 20
INST , CMPX , TEXT , 20
INST , PTNO , INTEGER , 1
INST , PTNT , INTEGER , 1
INST , PTNB , INTEGER , 20
INST , JNUM , INTEGER , 2
INST , JOIP , WORD , 2
INST , MTOC , WORD , 1
INST , MTOT , WORD , 1
INST , MTOX , INTEGER , 20
INST , SPSP , TEXT , 2
INST , DPFN , TEXT , 1024
INST , DPGRID , INTEGER , 1
